time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-8.779069582481897e-08,1.5514229191330618e-09,9.998476061797486,2.585170656210778e-06,0.00012373358354356156,0.0,-8.086426346013403e-06,1.5481021160861344e-07,-0.05079868748975077,0.00012911956757084874,0.005896837811563371,0.0,385.18384137212365,385.74100456266115,386.74380276191255,386.75596184845415
0.12000000000000001,-5.283292682815188e-06,2.0009759267170554e-07,9.999389668038173,0.00011981603189781254,0.000963760344518505,0.0,-0.00023264910258960264,1.3379627677527765e-05,0.08125220595034371,0.005374318890781837,0.026626843867774575,0.0,447.00873124639,448.69458499660243,445.83352263250333,446.26177285287383
0.18,-4.042601775378637e-05,4.031531100644921e-06,10.003317172601397,0.00048551573532762404,0.0027353897565296492,0.0,-0.001078251617453707,0.00014275998970924702,0.04966672096513462,0.007498779339729263,0.03477372497207599,0.0,392.8997874320427,393.6546310037548,392.5242232187386,392.7211948476903
0.23999999999999996,-0.00018326132508210378,2.7077802736958453e-05,10.013597264798948,0.0011670329771140686,0.005014213617488217,0.0,-0.003952637289533788,0.0006963110284562055,0.29297074016640534,0.018135471507312036,0.0437246566196402,0.0,479.44381345078625,480.1238474904895,480.28250845340034,481.0882955987801
0.3,-0.0005326876832256604,9.684918709638489e-05,10.033881007111074,0.002392409713192656,0.007898194337137454,0.0,-0.007972837356208672,0.0017460317161961739,0.383125629098748,0.024644444864582782,0.05557652472177909,0.0,434.0646678547187,435.05942129487227,432.91240827409547,433.4596523483625
0.36000000000000004,-0.0011914252922308095,0.00025801743594309237,10.060397024952326,0.0037296100769328433,0.011150007037489473,0.0,-0.014329375580406636,0.0037738960958082894,0.5006932905152912,0.017096953015421672,0.05128524515997898,0.0,442.5428085295477,442.1914651874681,443.1877937529158,442.56713712138685
0.4200000000000001,-0.00236387945298274,0.0005895255422695452,10.099321961678699,0.005379058360145628,0.015099972753846558,0.0,-0.02522355317995142,0.0074581743183434225,0.7966390750831629,0.042779637770186514,0.08528449369249792,0.0,493.55256470495254,496.0576361452313,495.2705087156872,497.1556695336736
0.48000000000000015,-0.004273075886664493,0.0011820118303312544,10.154114193221432,0.008417288376270093,0.019765553078624265,0.0,-0.03901786087499237,0.012635381335361507,1.0295754504648968,0.06295541651415658,0.05515834681487161,0.0,478.0905257246473,475.7940255249412,478.14295522896117,479.67871982488805
0.5400000000000001,-0.007209744002843249,0.002207528992956586,10.22745492898974,0.012741912049229143,0.023015772749024777,0.0,-0.05933617140996487,0.02213528350137288,1.4147051852588048,0.08591821708376379,0.052118028670418974,0.0,521.2622357067843,521.0512323400266,519.4297701976761,521.0404797151168
0.6000000000000002,-0.011220939026418084,0.0037974593251060788,10.313781076979955,0.018087546907819885,0.026324230937183835,0.0,-0.07467305717179062,0.03135722841447489,1.462757322975266,0.0947858580285647,0.060586906214885466,0.0,421.3769393370427,422.11055576347525,422.26734159929845,423.0385743805275
0.6600000000000003,-0.016266318715912668,0.006079334721548163,10.404808814102205,0.023413439425150173,0.029760125352459532,0.0,-0.09386873561584086,0.045275158819331286,1.5713346371728263,0.07264960666067788,0.0496220457592736,0.0,442.05093143345977,441.1487958405483,443.02668323491133,441.20942237204076
0.7200000000000003,-0.022491748058573853,0.009269842723468884,10.50099241205166,0.027911159924138396,0.0325026934285928,0.0,-0.11392077903593753,0.06150067142464355,1.6346757403181447,0.07922408242010325,0.03643873420278015,0.0,428.77329027990413,427.6532010921667,426.9996503287547,427.5647359546488
0.7800000000000004,-0.029979717122072255,0.0135305034828874,10.601224465727599,0.0328168494776504,0.03487306756962383,0.0,-0.13589858402876293,0.0809907002624781,1.7062646866686495,0.08640370363037374,0.04502533584109983,0.0,430.2885567462146,431.01563603414706,430.37746155931484,430.9902924121127
0.8400000000000004,-0.03887671950615519,0.019098915358047416,10.70689017759292,0.038826570080594536,0.03835732381393697,0.0,-0.1609908906290729,0.10520449223066299,1.815722460595684,0.11887519438521002,0.0761045214888814,0.0,442.11687138951925,444.6721288779824,441.319370095799,443.99949662450126
0.9000000000000005,-0.049384132652124234,0.02627849263081851,10.819768342762014,0.04598091358576806,0.04254461964187772,0.0,-0.18971990656178386,0.13486623033255957,1.9466138735987453,0.11995634665554482,0.05253415784524786,0.0,451.91411128182966,450.0138162392079,449.3331474963619,449.4334051380228
0.9600000000000005,-0.06180320101262854,0.03550421381519887,10.942856398679902,0.05293642844374169,0.046193154188281405,0.0,-0.22464009272739083,0.1734766625073501,2.155884611777339,0.10632251236989863,0.07364012240697546,0.0,473.90240610465247,475.52413732530744,474.57647235705554,473.5399153425199
1.0200000000000005,-0.07666772209121221,0.04750622912584819,11.083955552201362,0.059777843970580946,0.050178220780070504,0.0,-0.27142700043348056,0.2275081663754753,2.5465398207331007,0.1261407952419488,0.04527895404812497,0.0,526.784432682376,524.822109373846,525.2846982505636,526.6663433638504
1.0800000000000005,-0.09422113746295091,0.06268373605520157,11.244021904023128,0.06742495643553692,0.05264134166536749,0.0,-0.3139802666776748,0.2793075598263513,2.7883576221705977,0.12995045290475782,0.03087066063012718,0.0,486.8932277093853,485.8148224589925,486.57790971410697,486.87628801916907
1.1400000000000006,-0.11420914421033378,0.08093094788193167,11.415254683227042,0.07516815661971954,0.054782013853819755,0.0,-0.3524848842189968,0.32973537469669,2.9189907201520926,0.12719790499414235,0.043880021756921544,0.0,454.30231245851667,455.3447438799725,454.9327194023045,454.72708921893286
